symbol,year,month,day,price
BTC,2018,1,22,11388.52
BTC,2018,1,23,11531.6
BTC,2018,1,24,11741.92
BTC,2018,1,25,11656.54
BTC,2018,1,26,11638.69
BTC,2018,1,27,12064.19
BTC,2018,1,28,11860.29
BTC,2018,1,29,11263.7
BTC,2018,1,30,10377.96
BTC,2018,1,31,10280.84
BTC,2018,2,1,9147.93
BTC,2018,2,2,9504.37
BTC,2018,2,3,9400.99
BTC,2018,2,4,8391.29
BTC,2018,2,5,7932.38
BTC,2018,2,6,8572.68
BTC,2018,2,7,8643.94
BTC,2018,2,8,8743.2
BTC,2018,2,9,9081.49
BTC,2018,2,10,8573.35
BTC,2018,2,11,8997.34
BTC,2018,2,12,8955.15
BTC,2018,2,13,9508.22
BTC,2018,2,14,10223.58
BTC,2018,2,15,10303.14
BTC,2018,2,16,11119.45
BTC,2018,2,17,11288.34
BTC,2018,2,18,11265.96
BTC,2018,2,19,11802.23
BTC,2018,2,20,11295.58
BTC,2018,2,21,10941.57
BTC,2018,2,22,10420.67
BTC,2018,2,23,10528
BTC,2018,2,24,9873.79
BTC,2018,2,25,10457.51
BTC,2018,2,26,10879.38
BTC,2018,2,27,11067.76
BTC,2018,2,28,11090.3
BTC,2018,3,1,11191.94
BTC,2018,3,2,11530.66
BTC,2018,3,3,11539.79
BTC,2018,3,4,11694.15
BTC,2018,3,5,11441.65
BTC,2018,3,6,10913.7
BTC,2018,3,7,10119.21
BTC,2018,3,8,9433.38
BTC,2018,3,9,9518.62
BTC,2018,3,10,9735.64
BTC,2018,3,11,9907.41
BTC,2018,3,12,9486.12
BTC,2018,3,13,9360.66
BTC,2018,3,14,8432.12
BTC,2018,3,15,8616.63
BTC,2018,3,16,8360.64
BTC,2018,3,17,8299.86
BTC,2018,3,18,8725.6
BTC,2018,3,19,9056.23
BTC,2018,3,20,9184.51
BTC,2018,3,21,9107
BTC,2018,3,22,8935.88
BTC,2018,3,23,9036.23
BTC,2018,3,24,8690.36
BTC,2018,3,25,8521.04
BTC,2018,3,26,8226.24
BTC,2018,3,27,8117.79
BTC,2018,3,28,7983.77
BTC,2018,3,29,7280.27
BTC,2018,3,30,7228.4
BTC,2018,3,31,7056.22
BTC,2018,4,1,8218.66
BTC,2018,4,2,7528.97
BTC,2018,4,3,7442.42
BTC,2018,4,4,6933.66
BTC,2018,4,5,6869.53
BTC,2018,4,6,7083.85
BTC,2018,4,7,7132.03
BTC,2018,4,8,7204.28
BTC,2018,4,9,6922.84
BTC,2018,4,10,6999.37
BTC,2018,4,11,8051.95
BTC,2018,4,12,8237.16
BTC,2018,4,13,8195.34
BTC,2018,4,14,8437.03
BTC,2018,4,15,8430.93
BTC,2018,4,16,8187.6
BTC,2018,4,17,8181.28
ETH,2017,7,1,293.3
ETH,2017,7,2,284.31
ETH,2017,7,3,282.32
ETH,2017,7,4,274.03
ETH,2017,7,5,274.55
ETH,2017,7,6,266.25
ETH,2017,7,7,248.35
ETH,2017,7,8,251.79
ETH,2017,7,9,240.09
ETH,2017,7,10,216.16
ETH,2017,7,11,227.06
ETH,2017,7,12,226.66
ETH,2017,7,13,207.07
ETH,2017,7,14,198.71
ETH,2017,7,15,171.91
ETH,2017,7,16,190.26
ETH,2017,7,17,256.89
ETH,2017,7,18,244.02
ETH,2017,7,19,235.86
ETH,2017,7,20,236.62
ETH,2017,7,21,236.55
ETH,2017,7,22,234.17
ETH,2017,7,23,229.56
ETH,2017,7,24,225.98
ETH,2017,7,25,209.29
ETH,2017,7,26,205.68
ETH,2017,7,27,203.93
ETH,2017,7,28,209.57
ETH,2017,7,29,209.88
ETH,2017,7,30,201.78
ETH,2017,7,31,232.55
ETH,2017,8,1,228.98
ETH,2017,8,2,228.08
ETH,2017,8,3,227.45
ETH,2017,8,4,258.47
ETH,2017,8,5,272.22
ETH,2017,8,6,274.39
ETH,2017,8,7,299.55
ETH,2017,8,8,314.75
ETH,2017,8,9,310.18
ETH,2017,8,10,310.36
ETH,2017,8,11,319.14
ETH,2017,8,12,308.87
ETH,2017,8,13,306.3
ETH,2017,8,14,299.71
ETH,2017,8,15,303.29
ETH,2017,8,16,310.43
ETH,2017,8,17,306.52
ETH,2017,8,18,298.79
ETH,2017,8,19,298.78
